run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K10_sw3_lam1.0,10,3,1.0,200,25,8,2,78,25.0,10,8,1326,3674,0.2652,53.04,0.195959,146.96,2.555949,0.14918,63.898733,3.62,0,26,24,150,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K10_sw5_lam1.0,10,5,1.0,200,25,8,2,140,25.0,10,8,1326,3674,0.2652,53.04,0.195959,146.96,2.972325,0.167634,74.308128,3.2,1,74,9,116,0.03370112,0.03248192,0.04078472,0.02707491,0.00202952,0.05847722
sweep_K10_sw9_lam1.0,10,9,1.0,200,25,7,2,152,28.571429,10,7,1301,3699,0.2602,52.04,0.195959,147.96,2.521569,0.131478,63.039219,3.137143,0,51,49,75,0.03370112,0.03248192,0.04078472,0.02707491,0.00123763,0.0341654
sweep_K15_sw3_lam1.0,15,3,1.0,200,25,12,2,64,16.666667,15,12,1351,3649,0.2702,54.04,0.195959,145.96,3.947347,0.173004,98.683665,3.496667,0,51,49,200,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K15_sw5_lam1.0,15,5,1.0,200,25,12,2,64,16.666667,15,12,1351,3649,0.2702,54.04,0.195959,145.96,4.008014,0.181442,100.200349,3.483333,0,51,53,196,0.03370112,0.03248192,0.04078472,0.02707491,0.00202952,0.05847722
sweep_K15_sw9_lam1.0,15,9,1.0,200,25,12,2,136,16.666667,15,12,1326,3674,0.2652,53.04,0.195959,146.96,4.412406,0.184292,110.310154,3.163333,1,124,0,175,0.03370112,0.03248192,0.04078472,0.02707491,0.00123763,0.0341654
sweep_K20_sw3_lam1.0,20,3,1.0,200,25,15,2,61,13.333333,20,15,1376,3624,0.2752,55.04,0.195959,144.96,5.02991,0.21173,125.747739,3.397333,0,76,74,225,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K20_sw5_lam1.0,20,5,1.0,200,25,17,2,59,11.764706,20,17,1376,3624,0.2752,55.04,0.195959,144.96,5.627292,0.211061,140.682309,3.569412,0,51,81,293,0.03370112,0.03248192,0.04078472,0.02707491,0.00202952,0.05847722
sweep_K20_sw9_lam1.0,20,9,1.0,200,25,13,2,136,15.384615,20,13,1376,3624,0.2752,55.04,0.195959,144.96,4.965898,0.184349,124.147444,3.113846,1,124,37,163,0.03370112,0.03248192,0.04078472,0.02707491,0.00123763,0.0341654
sweep_K25_sw3_lam1.0,25,3,1.0,200,25,20,2,57,10.0,25,20,1426,3574,0.2852,57.04,0.195959,142.96,6.967824,0.263259,174.1956,3.3,1,124,99,276,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K25_sw5_lam1.0,25,5,1.0,200,25,20,2,55,10.0,25,20,1426,3574,0.2852,57.04,0.195959,142.96,6.639651,0.230321,165.991286,3.544,0,51,126,323,0.03370112,0.03248192,0.04078472,0.02707491,0.00202952,0.05847722
sweep_K25_sw9_lam1.0,25,9,1.0,200,25,17,2,64,11.764706,25,17,1401,3599,0.2802,56.04,0.195959,143.96,6.314797,0.187131,157.869913,3.145882,0,151,61,213,0.03370112,0.03248192,0.04078472,0.02707491,0.00123763,0.0341654
sweep_K30_sw3_lam1.0,30,3,1.0,200,25,24,2,57,8.333333,30,24,1476,3524,0.2952,59.04,0.195959,140.96,8.689669,0.284725,217.241715,3.165,1,149,200,250,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K30_sw5_lam1.0,30,5,1.0,200,25,23,2,54,8.695652,30,23,1476,3524,0.2952,59.04,0.195959,140.96,8.028598,0.266898,200.714947,3.457391,1,99,111,364,0.03370112,0.03248192,0.04078472,0.02707491,0.00202952,0.05847722
sweep_K30_sw9_lam1.0,30,9,1.0,200,25,22,2,50,9.090909,30,22,1501,3499,0.3002,60.04,0.195959,139.96,8.616196,0.23675,215.40489,3.04,1,224,77,248,0.03370112,0.03248192,0.04078472,0.02707491,0.00123763,0.0341654
sweep_K35_sw3_lam1.0,35,3,1.0,200,25,27,2,57,7.407407,35,27,1501,3499,0.3002,60.04,0.195959,139.96,10.047046,0.305506,251.176157,3.072593,1,199,225,250,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K35_sw5_lam1.0,35,5,1.0,200,25,26,2,54,7.692308,35,26,1551,3449,0.3102,62.04,0.195959,137.96,9.602105,0.281854,240.052629,3.323077,1,124,189,336,0.03370112,0.03248192,0.04078472,0.02707491,0.00202952,0.05847722
sweep_K35_sw9_lam1.0,35,9,1.0,200,25,25,2,49,8.0,35,25,1501,3499,0.3002,60.04,0.195959,139.96,9.664569,0.244775,241.614213,2.9952,0,251,126,248,0.03370112,0.03248192,0.04078472,0.02707491,0.00123763,0.0341654
